Code Géographique;Région;Département;Libellé Géographique;Coordonnees;année;Naissances
59346;31;59;Lezennes;50.6111691928, 3.11824226491;2008;40
59350;31;59;Lille;50.6317183168, 3.04783272312;2006;3760
59354;31;59;Loffre;50.3537253099, 3.17227962058;2007;3
59356;31;59;Lompret;50.6631680443, 2.99516100327;2010;17
59357;31;59;La Longueville;50.2961357977, 3.87102048316;2012;22
59358;31;59;Looberghe;50.912741374, 2.2751678981;2006;20
59361;31;59;Lourches;50.3111500417, 3.35745797918;2011;57
59364;31;59;Louvil;50.5567255467, 3.18952793321;2006;8
59369;31;59;Maing;50.3036687499, 3.48802239874;2004;56
59371;31;59;Le Maisnil;50.6182693489, 2.87754636769;2007;2
59371;31;59;Le Maisnil;50.6182693489, 2.87754636769;2006;5
59381;31;59;Maresches;50.2940290785, 3.57606019881;2009;12
59386;31;59;Marquette-lez-Lille;50.67409511, 3.05886328577;2009;152
59386;31;59;Marquette-lez-Lille;50.67409511, 3.05886328577;2013;149
59387;31;59;Marquette-en-Ostrevant;50.2921413356, 3.2707273524;2009;19
59390;31;59;Masny;50.341241582, 3.19548470018;2004;54
59392;31;59;Maubeuge;50.283630719, 3.96328053037;2009;463
59392;31;59;Maubeuge;50.283630719, 3.96328053037;2004;503
59394;31;59;Maurois;50.0727158621, 3.4590777682;2012;8
59397;31;59;Merckeghem;50.8699396008, 2.27783454706;2013;7
59400;31;59;Merville;50.6449293889, 2.63582653422;2004;112
59405;31;59;Moeuvres;50.1602158423, 3.06781891746;2010;9
59405;31;59;Moeuvres;50.1602158423, 3.06781891746;2006;7
59407;31;59;Monchaux-sur-Écaillon;50.2838656974, 3.4581039292;2010;4
59408;31;59;Moncheaux;50.456566302, 3.08800670538;2008;11
59408;31;59;Moncheaux;50.456566302, 3.08800670538;2004;20
59411;31;59;Mons-en-Pévèle;50.4819644352, 3.10317921728;2003;13
59002;31;59;Abscon;50.3283410844, 3.29787586969;2008;54
59002;31;59;Abscon;50.3283410844, 3.29787586969;2005;59
59003;31;59;Aibes;50.233709404, 4.09622701433;2011;9
59009;31;59;Villeneuve-d'Ascq;50.6324372393, 3.1535257221;2011;903
59011;31;59;Annoeullin;50.5265153703, 2.92753629479;2003;139
59012;31;59;Anor;49.9949415311, 4.11785622281;2003;39
59015;31;59;Arleux;50.2820675827, 3.11314479871;2011;46
59024;31;59;Auberchicourt;50.3299785774, 3.22782402703;2008;68
59026;31;59;Aubigny-au-Bac;50.2659759447, 3.16874604317;2003;19
59028;31;59;Auby;50.4142959158, 3.06115822735;2010;114
59029;31;59;Auchy-lez-Orchies;50.480622996, 3.19519541331;2012;19
59034;31;59;Avelin;50.5397882047, 3.08608433822;2011;29
59034;31;59;Avelin;50.5397882047, 3.08608433822;2005;26
59036;31;59;Avesnes-sur-Helpe;50.1242937124, 3.92754898552;2008;86
59037;31;59;Avesnes-les-Aubert;50.1911782213, 3.37676857334;2010;51
59037;31;59;Avesnes-les-Aubert;50.1911782213, 3.37676857334;2013;35
59046;31;59;Bambecque;50.9087831017, 2.56046766711;2011;16
59049;31;59;Bantouzelle;50.0579473391, 3.22511810175;2012;5
59063;31;59;Beauvois-en-Cambrésis;50.1403335661, 3.38449590227;2004;17
59067;31;59;Bergues;50.9691920635, 2.43268784817;2006;47
59068;31;59;Berlaimont;50.2057229954, 3.79391306597;2005;49
59071;31;59;Bersée;50.4804538835, 3.15078397856;2010;20
59597;31;59;Tilloy-lez-Cambrai;50.2010948825, 3.21429536974;2012;3
59599;31;59;Tourcoing;50.7254418902, 3.15882757215;2008;1727
